keep,query_id,type,query,overlap,passage_id,evidence,passage_text
TRUE,ood_q0001,factoid,Қазақстанда қандай жаңа тұжырымдама жүзеге асырыла бастады?,0.714,akorda_001_p00,,"Құрметті форумға қатысушылар! Ең алдымен, баршаңызды алқалы жиынның ашылуымен құттықтаймын! Қадірлі меймандарға осы форумға арнайы келгендері үшін алғыс айтамын. Сіздерді Астана төрінде көргеніме ризамын. Жаңа ғана форум тақырыбы бойынша өзекті ойлар мен құнды пікірлер айтылды. Алдағы уақытта Үкімет бұл жұмысты міндетті түрде назарда ұстайды. Шын мәнінде, бүгінгі жиынның мән-маңызы айрықша. Мемлекет пен қоғам тұтастығын нығайту - Қазақстан үшін алдыңғы қатардағы міндеттің бірі. Еліміз тұрақты дамуы үшін халық пен билік арасында өзара сенім және келісім болуы керек. Бұл - мызғымас қағида. Бірақ мұндай келісім өздігінен пайда болмайтыны анық. Қоғамдық келісім, бұл - көпқырлы табанды жұмыстың нәтижесі. Сондықтан мен Президент ретінде осы өте өзекті мәселеге баса мән беремін. Біз ""Халық үніне құлақ асатын мемлекет"" тұжырымдамасын жүзеге асыра бастадық. Ашық диалог жүргізу, азаматтардың"
TRUE,ood_q0002,paraphrase,Билік пен бұқара арасындағы байланысты жақсартатын қандай концепция қолға алынды?,0.3,akorda_001_p00,,"Құрметті форумға қатысушылар! Ең алдымен, баршаңызды алқалы жиынның ашылуымен құттықтаймын! Қадірлі меймандарға осы форумға арнайы келгендері үшін алғыс айтамын. Сіздерді Астана төрінде көргеніме ризамын. Жаңа ғана форум тақырыбы бойынша өзекті ойлар мен құнды пікірлер айтылды. Алдағы уақытта Үкімет бұл жұмысты міндетті түрде назарда ұстайды. Шын мәнінде, бүгінгі жиынның мән-маңызы айрықша. Мемлекет пен қоғам тұтастығын нығайту - Қазақстан үшін алдыңғы қатардағы міндеттің бірі. Еліміз тұрақты дамуы үшін халық пен билік арасында өзара сенім және келісім болуы керек. Бұл - мызғымас қағида. Бірақ мұндай келісім өздігінен пайда болмайтыны анық. Қоғамдық келісім, бұл - көпқырлы табанды жұмыстың нәтижесі. Сондықтан мен Президент ретінде осы өте өзекті мәселеге баса мән беремін. Біз ""Халық үніне құлақ асатын мемлекет"" тұжырымдамасын жүзеге асыра бастадық. Ашық диалог жүргізу, азаматтардың"
TRUE,ood_q0003,low_overlap,Жұрттың пікірімен санасуды көздейтін саяси бағдарлама қалай аталады?,0.125,akorda_001_p00,,"Құрметті форумға қатысушылар! Ең алдымен, баршаңызды алқалы жиынның ашылуымен құттықтаймын! Қадірлі меймандарға осы форумға арнайы келгендері үшін алғыс айтамын. Сіздерді Астана төрінде көргеніме ризамын. Жаңа ғана форум тақырыбы бойынша өзекті ойлар мен құнды пікірлер айтылды. Алдағы уақытта Үкімет бұл жұмысты міндетті түрде назарда ұстайды. Шын мәнінде, бүгінгі жиынның мән-маңызы айрықша. Мемлекет пен қоғам тұтастығын нығайту - Қазақстан үшін алдыңғы қатардағы міндеттің бірі. Еліміз тұрақты дамуы үшін халық пен билік арасында өзара сенім және келісім болуы керек. Бұл - мызғымас қағида. Бірақ мұндай келісім өздігінен пайда болмайтыны анық. Қоғамдық келісім, бұл - көпқырлы табанды жұмыстың нәтижесі. Сондықтан мен Президент ретінде осы өте өзекті мәселеге баса мән беремін. Біз ""Халық үніне құлақ асатын мемлекет"" тұжырымдамасын жүзеге асыра бастадық. Ашық диалог жүргізу, азаматтардың"
TRUE,ood_q0004,factoid,Өркениетті ел ретінде ұлттық болмысымыздың ажырамас бөлігіне нені айналдыруымыз керек?,0.889,akorda_001_p01,,"өте өзекті мәселеге баса мән беремін. Біз ""Халық үніне құлақ асатын мемлекет"" тұжырымдамасын жүзеге асыра бастадық. Ашық диалог жүргізу, азаматтардың мұң-мұқтажын ескеріп, арыз-шағымына дер кезінде жауап беру елдегі түбегейлі өзгерістердің өзегі саналады. Осы маңызды жұмысқа биліктің әр деңгейдегі өкілдері, соның ішінде министрлер, әкімдер, депутаттар белсенді түрде қатысуы керек. Бұл - мемлекеттік қызметшілердің конституциялық міндеті. Соңғы жылдары мемлекетіміз аса ауқымды құқықтық және қоғамдық жаңғыру жолына түсті. Елімізде жаңа саяси мәдениет қалыптаса бастады. Біз өркениетті ел ретінде Заң мен тәртіп қағидатын ұлттық болмысымыздың ажырамас бөлігіне айналдыруымыз керек. Барша азаматтарға, әсіресе, жастарға заңды құрметтеу, заңға бағыну қажет екенін қарапайым тілмен жан-жақты түсіндірген жөн. Заңды қадірлеу, тәртіпті қолдау, бұл - әр адамның жарқын өміріне жол ашатын маңызды шарт. Жалпыұлттық референдумда қабылданған жаңа Конституциямызда осы"
TRUE,ood_q0005,paraphrase,Халқымыздың күнделікті өмірі мен діліне сіңіруге тиісті басты ережелер қандай?,0.2,akorda_001_p01,,"өте өзекті мәселеге баса мән беремін. Біз ""Халық үніне құлақ асатын мемлекет"" тұжырымдамасын жүзеге асыра бастадық. Ашық диалог жүргізу, азаматтардың мұң-мұқтажын ескеріп, арыз-шағымына дер кезінде жауап беру елдегі түбегейлі өзгерістердің өзегі саналады. Осы маңызды жұмысқа биліктің әр деңгейдегі өкілдері, соның ішінде министрлер, әкімдер, депутаттар белсенді түрде қатысуы керек. Бұл - мемлекеттік қызметшілердің конституциялық міндеті. Соңғы жылдары мемлекетіміз аса ауқымды құқықтық және қоғамдық жаңғыру жолына түсті. Елімізде жаңа саяси мәдениет қалыптаса бастады. Біз өркениетті ел ретінде Заң мен тәртіп қағидатын ұлттық болмысымыздың ажырамас бөлігіне айналдыруымыз керек. Барша азаматтарға, әсіресе, жастарға заңды құрметтеу, заңға бағыну қажет екенін қарапайым тілмен жан-жақты түсіндірген жөн. Заңды қадірлеу, тәртіпті қолдау, бұл - әр адамның жарқын өміріне жол ашатын маңызды шарт. Жалпыұлттық референдумда қабылданған жаңа Конституциямызда осы"
TRUE,ood_q0006,low_overlap,Мемлекеттің дамуы үшін қоғамда мүлтіксіз сақталуы қажет құқықтық нормалар не?,0.444,akorda_001_p01,,"өте өзекті мәселеге баса мән беремін. Біз ""Халық үніне құлақ асатын мемлекет"" тұжырымдамасын жүзеге асыра бастадық. Ашық диалог жүргізу, азаматтардың мұң-мұқтажын ескеріп, арыз-шағымына дер кезінде жауап беру елдегі түбегейлі өзгерістердің өзегі саналады. Осы маңызды жұмысқа биліктің әр деңгейдегі өкілдері, соның ішінде министрлер, әкімдер, депутаттар белсенді түрде қатысуы керек. Бұл - мемлекеттік қызметшілердің конституциялық міндеті. Соңғы жылдары мемлекетіміз аса ауқымды құқықтық және қоғамдық жаңғыру жолына түсті. Елімізде жаңа саяси мәдениет қалыптаса бастады. Біз өркениетті ел ретінде Заң мен тәртіп қағидатын ұлттық болмысымыздың ажырамас бөлігіне айналдыруымыз керек. Барша азаматтарға, әсіресе, жастарға заңды құрметтеу, заңға бағыну қажет екенін қарапайым тілмен жан-жақты түсіндірген жөн. Заңды қадірлеу, тәртіпті қолдау, бұл - әр адамның жарқын өміріне жол ашатын маңызды шарт. Жалпыұлттық референдумда қабылданған жаңа Конституциямызда осы"
TRUE,ood_q0007,factoid,Мемлекет пен қоғам арасындағы байланысқа серпін берген қандай онлайн платформа?,0.9,akorda_001_p03,,"әділеттің жаңа үлгісін қабылдау қажеттігі жөнінде айттым. Бұл азаматтарымызды және кәсіпкерлерді билік өкілдерінің заңсыз әрекеттерінен қорғау үшін жасалған аса маңызды қадам болды. Ал 2021 жылы елімізде Әкімшілік рәсімдік-процестік кодекс күшіне енді. Мемлекет пен қоғам арасындағы байланысқа тың серпін берген ""е-Өтініш"" онлайн платформасы іске қосылды, яғни, азаматтардың өтініштерін мейлінше ашық әрі тиімді қарап, жедел шешім қабылдау тәсілі қалыптасты. Бұдан бөлек, бұл жүйе бюрократиялық кедергілерді азайтуға және жұртшылықтың ой-пікірін ескеруге мол мүмкіндік берді. Осылайша, халық пен билік өкілдерінің қарым-қатынасы мүлде жаңа сипатқа ие болды. Соңғы бес жыл ішінде мемлекеттік органдарға шамамен 16 миллион өтініштің келіп түсуі - соның айқын көрінісі. Сондай-ақ еліміздегі сот тәжірибесі үшін де бетбұрыс кезеңі басталды. Ашығын айтуымыз керек, бұған дейін азаматтар үшін мемлекеттік органдардың шешімдеріне және әрекеттеріне шағымдану,"
TRUE,ood_q0008,paraphrase,Тұрғындардың шағымдарын ашық әрі жедел қарауға арналған қандай жүйе қосылды?,0.6,akorda_001_p03,,"әділеттің жаңа үлгісін қабылдау қажеттігі жөнінде айттым. Бұл азаматтарымызды және кәсіпкерлерді билік өкілдерінің заңсыз әрекеттерінен қорғау үшін жасалған аса маңызды қадам болды. Ал 2021 жылы елімізде Әкімшілік рәсімдік-процестік кодекс күшіне енді. Мемлекет пен қоғам арасындағы байланысқа тың серпін берген ""е-Өтініш"" онлайн платформасы іске қосылды, яғни, азаматтардың өтініштерін мейлінше ашық әрі тиімді қарап, жедел шешім қабылдау тәсілі қалыптасты. Бұдан бөлек, бұл жүйе бюрократиялық кедергілерді азайтуға және жұртшылықтың ой-пікірін ескеруге мол мүмкіндік берді. Осылайша, халық пен билік өкілдерінің қарым-қатынасы мүлде жаңа сипатқа ие болды. Соңғы бес жыл ішінде мемлекеттік органдарға шамамен 16 миллион өтініштің келіп түсуі - соның айқын көрінісі. Сондай-ақ еліміздегі сот тәжірибесі үшін де бетбұрыс кезеңі басталды. Ашығын айтуымыз керек, бұған дейін азаматтар үшін мемлекеттік органдардың шешімдеріне және әрекеттеріне шағымдану,"
TRUE,ood_q0009,low_overlap,"Бюрократиялық кедергілерді азайтып, халықтың сұранысын электронды түрде қабылдайтын портал қалай аталады?",0.455,akorda_001_p03,,"әділеттің жаңа үлгісін қабылдау қажеттігі жөнінде айттым. Бұл азаматтарымызды және кәсіпкерлерді билік өкілдерінің заңсыз әрекеттерінен қорғау үшін жасалған аса маңызды қадам болды. Ал 2021 жылы елімізде Әкімшілік рәсімдік-процестік кодекс күшіне енді. Мемлекет пен қоғам арасындағы байланысқа тың серпін берген ""е-Өтініш"" онлайн платформасы іске қосылды, яғни, азаматтардың өтініштерін мейлінше ашық әрі тиімді қарап, жедел шешім қабылдау тәсілі қалыптасты. Бұдан бөлек, бұл жүйе бюрократиялық кедергілерді азайтуға және жұртшылықтың ой-пікірін ескеруге мол мүмкіндік берді. Осылайша, халық пен билік өкілдерінің қарым-қатынасы мүлде жаңа сипатқа ие болды. Соңғы бес жыл ішінде мемлекеттік органдарға шамамен 16 миллион өтініштің келіп түсуі - соның айқын көрінісі. Сондай-ақ еліміздегі сот тәжірибесі үшін де бетбұрыс кезеңі басталды. Ашығын айтуымыз керек, бұған дейін азаматтар үшін мемлекеттік органдардың шешімдеріне және әрекеттеріне шағымдану,"
TRUE,ood_q0010,factoid,Соңғы жылдары сот шешімдерінің жартысынан көбі кімдердің мүддесіне сай шығарылған?,0.9,akorda_001_p04,,"сот тәжірибесі үшін де бетбұрыс кезеңі басталды. Ашығын айтуымыз керек, бұған дейін азаматтар үшін мемлекеттік органдардың шешімдеріне және әрекеттеріне шағымдану, яғни, өз құқығын қорғау оңай болмайтын. Әкімшілік әділет жүйесі іске қосылған соң жағдай түбегейлі өзгерді. Ең бастысы, күмән тудыратын мәселелердің бәрі әділетті түрде адал азаматтардың пайдасына шешілетін болды. Ал соттар дәлелдеме жинау жұмысына ерекше мән бере бастады. Бұл - мемлекеттік органдар өздерінің шешімдерін және әрекеттерін заң жүзінде дәлелдеуге міндетті деген сөз. Статистикаға қарайтын болсақ, соңғы жылдары сот шешімдерінің жартысынан көбі азаматтар мен бизнестің мүддесіне сай шығарылған. Бұл да әкімшілік әділет жүйесінің нақты нәтижесі екені сөзсіз. Осылайша, қоғамымыз ""судьялар әрдайым билік өкілдерін жақтайды"" деген қасаң пікірден арыла бастады. Әкімшілік істер бойынша сот тәжірибесі мемлекеттік аппарат жұмысының сапасын айқындайтын сынақ болды. Оның"
TRUE,ood_q0011,paraphrase,Әкімшілік әділет жүйесі енгізілгелі даулы істер кімнің пайдасына шешіліп жатыр?,0.6,akorda_001_p04,,"сот тәжірибесі үшін де бетбұрыс кезеңі басталды. Ашығын айтуымыз керек, бұған дейін азаматтар үшін мемлекеттік органдардың шешімдеріне және әрекеттеріне шағымдану, яғни, өз құқығын қорғау оңай болмайтын. Әкімшілік әділет жүйесі іске қосылған соң жағдай түбегейлі өзгерді. Ең бастысы, күмән тудыратын мәселелердің бәрі әділетті түрде адал азаматтардың пайдасына шешілетін болды. Ал соттар дәлелдеме жинау жұмысына ерекше мән бере бастады. Бұл - мемлекеттік органдар өздерінің шешімдерін және әрекеттерін заң жүзінде дәлелдеуге міндетті деген сөз. Статистикаға қарайтын болсақ, соңғы жылдары сот шешімдерінің жартысынан көбі азаматтар мен бизнестің мүддесіне сай шығарылған. Бұл да әкімшілік әділет жүйесінің нақты нәтижесі екені сөзсіз. Осылайша, қоғамымыз ""судьялар әрдайым билік өкілдерін жақтайды"" деген қасаң пікірден арыла бастады. Әкімшілік істер бойынша сот тәжірибесі мемлекеттік аппарат жұмысының сапасын айқындайтын сынақ болды. Оның"
TRUE,ood_q0012,low_overlap,Мемлекеттік органдармен болған құқықтық тартыстарда қазіргі уақытта кімдер жиі жеңіске жетеді?,0.182,akorda_001_p04,,"сот тәжірибесі үшін де бетбұрыс кезеңі басталды. Ашығын айтуымыз керек, бұған дейін азаматтар үшін мемлекеттік органдардың шешімдеріне және әрекеттеріне шағымдану, яғни, өз құқығын қорғау оңай болмайтын. Әкімшілік әділет жүйесі іске қосылған соң жағдай түбегейлі өзгерді. Ең бастысы, күмән тудыратын мәселелердің бәрі әділетті түрде адал азаматтардың пайдасына шешілетін болды. Ал соттар дәлелдеме жинау жұмысына ерекше мән бере бастады. Бұл - мемлекеттік органдар өздерінің шешімдерін және әрекеттерін заң жүзінде дәлелдеуге міндетті деген сөз. Статистикаға қарайтын болсақ, соңғы жылдары сот шешімдерінің жартысынан көбі азаматтар мен бизнестің мүддесіне сай шығарылған. Бұл да әкімшілік әділет жүйесінің нақты нәтижесі екені сөзсіз. Осылайша, қоғамымыз ""судьялар әрдайым билік өкілдерін жақтайды"" деген қасаң пікірден арыла бастады. Әкімшілік істер бойынша сот тәжірибесі мемлекеттік аппарат жұмысының сапасын айқындайтын сынақ болды. Оның"
TRUE,ood_q0013,factoid,Бұрын қаралған шағымдар мен өтініштер қайтадан ненің нысанасы болмауы керек?,0.9,akorda_001_p06,,"отыр. Үкімет қазірдің өзінде тиісті ережелерді әзірледі. Енді орталық және жергілікті деңгейде әкімшілік актілер мен рәсімдердің бірізділігін қамтамасыз ету қажет. Бұрын келіп түскен шағымдар мен өтініштерде қаралған мәселелер қайтадан соттағы дау-дамай нысанасы болмауы керек. Әкімшілік тәжірибенің жүйелілігі мен тұрақтылығын қамтамасыз ету қажет. Жария құқықтық сипаттағы дау-дамайды әкімшілік сот төрелігі деңгейіне беру бойынша ауқымды жұмыс атқарылуда. Былтыр бұл қосымша құқықтық-нормативтік актілердің заңдылығын қарайтын істерді қамтыды. Бұған дейін мұндай дау-дамайға қатысты шешім азаматтық іс жүргізу нормаларына сәйкес қабылданып келген. Осының бәрі ""Халық үніне құлақ асатын мемлекет"" қағидатының нақты іс жүзіндегі көрінісі екені күмәнсіз. Еліміз сот жүйесі және құқық қорғау саласындағы түбегейлі реформалармен қатар ауқымды экономикалық өзгерістерді жүзеге асыруда. Мұның мемлекетіміз үшін маңызы айрықша. Іскерлік белсенділікті арттыру мақсатында, соның ішінде инвестициялық дауларды шешу"
TRUE,ood_q0014,paraphrase,Орталық пен жергілікті органдар қарап қойған мәселелер қайда қайта қаралмауы қажет?,0.545,akorda_001_p06,,"отыр. Үкімет қазірдің өзінде тиісті ережелерді әзірледі. Енді орталық және жергілікті деңгейде әкімшілік актілер мен рәсімдердің бірізділігін қамтамасыз ету қажет. Бұрын келіп түскен шағымдар мен өтініштерде қаралған мәселелер қайтадан соттағы дау-дамай нысанасы болмауы керек. Әкімшілік тәжірибенің жүйелілігі мен тұрақтылығын қамтамасыз ету қажет. Жария құқықтық сипаттағы дау-дамайды әкімшілік сот төрелігі деңгейіне беру бойынша ауқымды жұмыс атқарылуда. Былтыр бұл қосымша құқықтық-нормативтік актілердің заңдылығын қарайтын істерді қамтыды. Бұған дейін мұндай дау-дамайға қатысты шешім азаматтық іс жүргізу нормаларына сәйкес қабылданып келген. Осының бәрі ""Халық үніне құлақ асатын мемлекет"" қағидатының нақты іс жүзіндегі көрінісі екені күмәнсіз. Еліміз сот жүйесі және құқық қорғау саласындағы түбегейлі реформалармен қатар ауқымды экономикалық өзгерістерді жүзеге асыруда. Мұның мемлекетіміз үшін маңызы айрықша. Іскерлік белсенділікті арттыру мақсатында, соның ішінде инвестициялық дауларды шешу"
TRUE,ood_q0015,low_overlap,Әкімшілік актілердің бірізділігін сақтау үшін қандай процестерді қайталамау ұсынылды?,0.556,akorda_001_p06,,"отыр. Үкімет қазірдің өзінде тиісті ережелерді әзірледі. Енді орталық және жергілікті деңгейде әкімшілік актілер мен рәсімдердің бірізділігін қамтамасыз ету қажет. Бұрын келіп түскен шағымдар мен өтініштерде қаралған мәселелер қайтадан соттағы дау-дамай нысанасы болмауы керек. Әкімшілік тәжірибенің жүйелілігі мен тұрақтылығын қамтамасыз ету қажет. Жария құқықтық сипаттағы дау-дамайды әкімшілік сот төрелігі деңгейіне беру бойынша ауқымды жұмыс атқарылуда. Былтыр бұл қосымша құқықтық-нормативтік актілердің заңдылығын қарайтын істерді қамтыды. Бұған дейін мұндай дау-дамайға қатысты шешім азаматтық іс жүргізу нормаларына сәйкес қабылданып келген. Осының бәрі ""Халық үніне құлақ асатын мемлекет"" қағидатының нақты іс жүзіндегі көрінісі екені күмәнсіз. Еліміз сот жүйесі және құқық қорғау саласындағы түбегейлі реформалармен қатар ауқымды экономикалық өзгерістерді жүзеге асыруда. Мұның мемлекетіміз үшін маңызы айрықша. Іскерлік белсенділікті арттыру мақсатында, соның ішінде инвестициялық дауларды шешу"
TRUE,ood_q0016,factoid,Мемлекеттік басқару жүйесі қандай жаңа тұжырымдама негізінде түбегейлі жаңғыратын болады?,0.8,akorda_001_p10,,"барлық қажетті жағдайды жасауға мүмкіндік береді. Біздің басты мақсатымыз - Алатау қаласын болашақтың цифрлық агломерациясына, жаңа технологияларды тарту орталығына айналдыру. Мемлекет бизнес өкілдерімен ашық, өзара тиімді ынтымақтастыққа дайын. Біз Заң мен тәртіпке бағынатын, баршаға бірдей мүмкіндік беретін Әділетті Қазақстанды құру үшін ауқымды жұмыс атқарып жатырмыз. Сондықтан сот жүйесінің тәуелсіздігін қамтамасыз етуге баса мән беріп отырмыз. Бірінші шілдеде еліміздің жаңа Конституциясы күшіне енеді. Осылайша, Қазақстан өз дамуының шешуші кезеңіне қадам басады. Мен бүгін бес конституциялық заңға қол қойдым. Бұл - жаңа Конституцияға сәйкес мемлекеттік басқару жүйесі ""Күшті Президент - ықпалды Құрылтай - есеп беретін Үкімет"" тұжырымдамасы негізінде түбегейлі жаңғырады деген сөз. Осы құқықтық реформалар елімізде жасалып жатқан әлеуметтік-экономикалық өзгерістерге де тың серпін бермек. Сөз соңында Әкімшілік рәсімдік-процестік кодексті әзірлеуге және оның"
TRUE,ood_q0017,paraphrase,Конституциялық реформаларға сәйкес билік тармақтарының өзара қарым-қатынасы қандай формуламен жүзеге асады?,0.333,akorda_001_p10,,"барлық қажетті жағдайды жасауға мүмкіндік береді. Біздің басты мақсатымыз - Алатау қаласын болашақтың цифрлық агломерациясына, жаңа технологияларды тарту орталығына айналдыру. Мемлекет бизнес өкілдерімен ашық, өзара тиімді ынтымақтастыққа дайын. Біз Заң мен тәртіпке бағынатын, баршаға бірдей мүмкіндік беретін Әділетті Қазақстанды құру үшін ауқымды жұмыс атқарып жатырмыз. Сондықтан сот жүйесінің тәуелсіздігін қамтамасыз етуге баса мән беріп отырмыз. Бірінші шілдеде еліміздің жаңа Конституциясы күшіне енеді. Осылайша, Қазақстан өз дамуының шешуші кезеңіне қадам басады. Мен бүгін бес конституциялық заңға қол қойдым. Бұл - жаңа Конституцияға сәйкес мемлекеттік басқару жүйесі ""Күшті Президент - ықпалды Құрылтай - есеп беретін Үкімет"" тұжырымдамасы негізінде түбегейлі жаңғырады деген сөз. Осы құқықтық реформалар елімізде жасалып жатқан әлеуметтік-экономикалық өзгерістерге де тың серпін бермек. Сөз соңында Әкімшілік рәсімдік-процестік кодексті әзірлеуге және оның"
TRUE,ood_q0018,low_overlap,Саяси институттардың жауапкершілігі мен өкілеттігін айқындайтын жаңа мемлекеттік модель қалай сипатталады?,0.273,akorda_001_p10,,"барлық қажетті жағдайды жасауға мүмкіндік береді. Біздің басты мақсатымыз - Алатау қаласын болашақтың цифрлық агломерациясына, жаңа технологияларды тарту орталығына айналдыру. Мемлекет бизнес өкілдерімен ашық, өзара тиімді ынтымақтастыққа дайын. Біз Заң мен тәртіпке бағынатын, баршаға бірдей мүмкіндік беретін Әділетті Қазақстанды құру үшін ауқымды жұмыс атқарып жатырмыз. Сондықтан сот жүйесінің тәуелсіздігін қамтамасыз етуге баса мән беріп отырмыз. Бірінші шілдеде еліміздің жаңа Конституциясы күшіне енеді. Осылайша, Қазақстан өз дамуының шешуші кезеңіне қадам басады. Мен бүгін бес конституциялық заңға қол қойдым. Бұл - жаңа Конституцияға сәйкес мемлекеттік басқару жүйесі ""Күшті Президент - ықпалды Құрылтай - есеп беретін Үкімет"" тұжырымдамасы негізінде түбегейлі жаңғырады деген сөз. Осы құқықтық реформалар елімізде жасалып жатқан әлеуметтік-экономикалық өзгерістерге де тың серпін бермек. Сөз соңында Әкімшілік рәсімдік-процестік кодексті әзірлеуге және оның"
TRUE,ood_q0019,factoid,Президент қандай кодексті әзірлеуге атсалысқан азаматтарға өзінің шынайы ризашылығын білдірді?,0.7,akorda_001_p11,,Осы құқықтық реформалар елімізде жасалып жатқан әлеуметтік-экономикалық өзгерістерге де тың серпін бермек. Сөз соңында Әкімшілік рәсімдік-процестік кодексті әзірлеуге және оның нормаларын жүзеге асыруға атсалысқан барша азаматқа шынайы ризашылығымды білдіремін. Бүгінгі басқосуда әкімшілік әділет институтын нығайтуға қатысты маңызды ойлар мен ұтымды ұсыныстар айтылады деп сенемін. Сондай-ақ мен бүгін Қазақстанның әлеуметтік-экономикалық дамуына және еліміздің заңнамасын жетілдіруге елеулі үлес қосқан бір топ азаматқа мемлекеттік награда беру туралы шешім қабылдадым. Баршаңызға құтты болсын деймін.
TRUE,ood_q0020,paraphrase,Жиын соңында Мемлекет басшысы қандай құқықтық құжатты дайындаған мамандарға алғыс айтты?,0.273,akorda_001_p11,,Осы құқықтық реформалар елімізде жасалып жатқан әлеуметтік-экономикалық өзгерістерге де тың серпін бермек. Сөз соңында Әкімшілік рәсімдік-процестік кодексті әзірлеуге және оның нормаларын жүзеге асыруға атсалысқан барша азаматқа шынайы ризашылығымды білдіремін. Бүгінгі басқосуда әкімшілік әділет институтын нығайтуға қатысты маңызды ойлар мен ұтымды ұсыныстар айтылады деп сенемін. Сондай-ақ мен бүгін Қазақстанның әлеуметтік-экономикалық дамуына және еліміздің заңнамасын жетілдіруге елеулі үлес қосқан бір топ азаматқа мемлекеттік награда беру туралы шешім қабылдадым. Баршаңызға құтты болсын деймін.
TRUE,ood_q0021,low_overlap,Әділет жүйесін реттейтін жаңа заңнамалық жинақты жазған тұлғаларға қандай құрмет көрсетілді?,0.182,akorda_001_p11,,Осы құқықтық реформалар елімізде жасалып жатқан әлеуметтік-экономикалық өзгерістерге де тың серпін бермек. Сөз соңында Әкімшілік рәсімдік-процестік кодексті әзірлеуге және оның нормаларын жүзеге асыруға атсалысқан барша азаматқа шынайы ризашылығымды білдіремін. Бүгінгі басқосуда әкімшілік әділет институтын нығайтуға қатысты маңызды ойлар мен ұтымды ұсыныстар айтылады деп сенемін. Сондай-ақ мен бүгін Қазақстанның әлеуметтік-экономикалық дамуына және еліміздің заңнамасын жетілдіруге елеулі үлес қосқан бір топ азаматқа мемлекеттік награда беру туралы шешім қабылдадым. Баршаңызға құтты болсын деймін.
